"SEX" "RPTYEAR" "STATE" "EDUCATION" "ADMTYPE" "OFFGENERAL" "ADMITYR" "SENTLGTH" "OFFDETAIL" "RACE" "AGEADMIT"
"33" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "White, non-Hispanic" "18-24 years"
"34" "Female" 2000 "Alabama" "<HS diploma/GED" "Other admission (including unsentenced, transfer, AWOL/escapee return)" "Property" 2000 "< 1 year" "Larceny" "Black, non-Hispanic" "25-34 years"
"35" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "White, non-Hispanic" "18-24 years"
"36" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "1-1.9 years" "Fraud" "Black, non-Hispanic" "25-34 years"
"37" "Female" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "< 1 year" "Drugs (includes possession, distribution, trafficking, other)" "White, non-Hispanic" "25-34 years"
"38" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Public order" 2000 "10-24.9 years" "Public order" "White, non-Hispanic" "25-34 years"
"39" "Female" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "2-4.9 years" "Drugs (includes possession, distribution, trafficking, other)" "White, non-Hispanic" "25-34 years"
"40" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "5-9.9 years" "Motor vehicle theft" "Black, non-Hispanic" "18-24 years"
"41" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "Black, non-Hispanic" "18-24 years"
"42" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "1-1.9 years" "Other property offenses" "Black, non-Hispanic" "18-24 years"
"43" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "Black, non-Hispanic" "18-24 years"
"44" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "< 1 year" "Other property offenses" "Black, non-Hispanic" "18-24 years"
"45" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Motor vehicle theft" "Black, non-Hispanic" "25-34 years"
"46" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 "10-24.9 years" "Robbery" "Black, non-Hispanic" "18-24 years"
"47" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "1-1.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "45-54 years"
"48" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "1-1.9 years" "Other property offenses" "White, non-Hispanic" "18-24 years"
"49" "Female" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "< 1 year" "Drugs (includes possession, distribution, trafficking, other)" "White, non-Hispanic" "35-44 years"
"50" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Public order" 2000 "< 1 year" "Public order" "White, non-Hispanic" "25-34 years"
"51" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 "2-4.9 years" "Robbery" "Black, non-Hispanic" "18-24 years"
"52" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 "1-1.9 years" "Aggravated or simple assault" "White, non-Hispanic" "25-34 years"
"53" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Public order" 2000 "10-24.9 years" "Public order" "Black, non-Hispanic" "35-44 years"
"54" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "2-4.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "35-44 years"
"55" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Public order" 2000 "2-4.9 years" "Public order" "Black, non-Hispanic" "18-24 years"
"56" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Burglary" "Black, non-Hispanic" "18-24 years"
"57" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "White, non-Hispanic" "18-24 years"
"58" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Violent" 2000 ">=25 years" "Murder (including non-negligent manslaughter)" "White, non-Hispanic" NA
"59" "Male" 2000 "Alabama" "Any college" "New court commitment" "Violent" 2000 ">=25 years" "Robbery" "Black, non-Hispanic" "18-24 years"
"60" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 "2-4.9 years" "Robbery" "Black, non-Hispanic" "18-24 years"
"61" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "Black, non-Hispanic" "18-24 years"
"62" "Female" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "1-1.9 years" "Larceny" "White, non-Hispanic" "25-34 years"
"63" "Female" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 "2-4.9 years" "Robbery" "Black, non-Hispanic" "25-34 years"
"64" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "2-4.9 years" "Drugs (includes possession, distribution, trafficking, other)" "White, non-Hispanic" "18-24 years"
"65" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "2-4.9 years" "Drugs (includes possession, distribution, trafficking, other)" "White, non-Hispanic" "18-24 years"
"66" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Public order" 2000 "< 1 year" "Public order" "Black, non-Hispanic" "18-24 years"
"67" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Property" 2000 "1-1.9 years" "Other property offenses" "White, non-Hispanic" "18-24 years"
"68" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "Black, non-Hispanic" "18-24 years"
"69" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Public order" 2000 "< 1 year" "Public order" "White, non-Hispanic" "18-24 years"
"70" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "Black, non-Hispanic" "18-24 years"
"71" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Larceny" "White, non-Hispanic" "25-34 years"
"72" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Larceny" "Black, non-Hispanic" "25-34 years"
"73" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Public order" 2000 "10-24.9 years" "Public order" "Black, non-Hispanic" "35-44 years"
"74" "Female" 2000 "Alabama" "Any college" "New court commitment" "Drugs" 2000 "5-9.9 years" "Drugs (includes possession, distribution, trafficking, other)" "White, non-Hispanic" "35-44 years"
"75" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "Black, non-Hispanic" "18-24 years"
"76" "Female" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Larceny" "White, non-Hispanic" "18-24 years"
"77" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 "10-24.9 years" "Robbery" "White, non-Hispanic" "25-34 years"
"78" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Public order" 2000 "2-4.9 years" "Public order" "Black, non-Hispanic" "35-44 years"
"79" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 "5-9.9 years" "Rape/sexual assault" "White, non-Hispanic" "18-24 years"
"80" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "Black, non-Hispanic" "18-24 years"
"81" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 "10-24.9 years" "Aggravated or simple assault" "White, non-Hispanic" "18-24 years"
"82" "Female" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Larceny" "White, non-Hispanic" "25-34 years"
"83" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "< 1 year" "Other property offenses" "White, non-Hispanic" "18-24 years"
"84" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 "Life, LWOP, Life plus additional years, Death" "Robbery" "Black, non-Hispanic" "25-34 years"
"85" "Male" 2000 "Alabama" "<HS diploma/GED" NA "Violent" 2000 "Life, LWOP, Life plus additional years, Death" "Murder (including non-negligent manslaughter)" "White, non-Hispanic" "25-34 years"
"86" "Male" 2000 "Alabama" "<HS diploma/GED" NA "Violent" 2000 "Life, LWOP, Life plus additional years, Death" "Murder (including non-negligent manslaughter)" "White, non-Hispanic" "35-44 years"
"87" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Public order" 2000 "2-4.9 years" "Public order" "White, non-Hispanic" "45-54 years"
"88" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Property" 2000 "Life, LWOP, Life plus additional years, Death" "Other property offenses" "Black, non-Hispanic" "45-54 years"
"89" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 "< 1 year" "Rape/sexual assault" "White, non-Hispanic" "35-44 years"
"90" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "5-9.9 years" "Other property offenses" "Black, non-Hispanic" "35-44 years"
"91" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Property" 2000 "10-24.9 years" "Larceny" "White, non-Hispanic" "35-44 years"
"92" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "10-24.9 years" "Drugs (includes possession, distribution, trafficking, other)" "White, non-Hispanic" "35-44 years"
"93" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Public order" 2000 "5-9.9 years" "Public order" "White, non-Hispanic" "35-44 years"
"94" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Public order" 2000 "5-9.9 years" "Public order" "White, non-Hispanic" "35-44 years"
"95" "Male" 2000 "Alabama" "HS diploma/GED" "Parole return/revocation" "Property" 2000 "10-24.9 years" "Other property offenses" "White, non-Hispanic" "35-44 years"
"96" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "5-9.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "35-44 years"
"97" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Public order" 2000 "5-9.9 years" "Public order" "Black, non-Hispanic" "25-34 years"
"98" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Public order" 2000 "5-9.9 years" "Public order" "White, non-Hispanic" "25-34 years"
"99" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Public order" 2000 "2-4.9 years" "Public order" "White, non-Hispanic" "35-44 years"
"100" "Male" 2000 "Alabama" "HS diploma/GED" "Other admission (including unsentenced, transfer, AWOL/escapee return)" "Property" 2000 "10-24.9 years" "Larceny" "White, non-Hispanic" "25-34 years"
"101" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Public order" 2000 "10-24.9 years" "Public order" "White, non-Hispanic" "25-34 years"
"102" "Male" 2000 "Alabama" "Any college" "New court commitment" "Property" 2000 "10-24.9 years" "Fraud" "White, non-Hispanic" "25-34 years"
"103" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 "10-24.9 years" "Robbery" "Black, non-Hispanic" "25-34 years"
"104" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Drugs" 2000 "10-24.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "45-54 years"
"105" "Male" 2000 "Alabama" "<HS diploma/GED" "Parole return/revocation" "Property" 2000 "10-24.9 years" "Burglary" "Black, non-Hispanic" "25-34 years"
"106" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "10-24.9 years" "Burglary" "Black, non-Hispanic" "25-34 years"
"107" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "10-24.9 years" "Larceny" "Black, non-Hispanic" "25-34 years"
"108" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Public order" 2000 "10-24.9 years" "Public order" "White, non-Hispanic" "35-44 years"
"109" "Male" 2000 "Alabama" "HS diploma/GED" "Parole return/revocation" "Property" 2000 "Life, LWOP, Life plus additional years, Death" "Burglary" "White, non-Hispanic" "35-44 years"
"110" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Larceny" "White, non-Hispanic" "45-54 years"
"111" "Male" 2000 "Alabama" "HS diploma/GED" "Parole return/revocation" "Drugs" 2000 ">=25 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "35-44 years"
"112" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Public order" 2000 "10-24.9 years" "Public order" "Black, non-Hispanic" "25-34 years"
"113" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "10-24.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "25-34 years"
"114" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Public order" 2000 "2-4.9 years" "Public order" "Black, non-Hispanic" "25-34 years"
"115" "Male" 2000 "Alabama" "<HS diploma/GED" "Other admission (including unsentenced, transfer, AWOL/escapee return)" "Property" 2000 ">=25 years" "Burglary" "White, non-Hispanic" "25-34 years"
"116" "Male" 2000 "Alabama" "Any college" "Parole return/revocation" "Drugs" 2000 "10-24.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "45-54 years"
"117" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "10-24.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "25-34 years"
"118" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 "2-4.9 years" "Rape/sexual assault" "White, non-Hispanic" "45-54 years"
"119" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "10-24.9 years" "Burglary" "White, non-Hispanic" "35-44 years"
"120" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "5-9.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "35-44 years"
"121" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "10-24.9 years" "Burglary" "Black, non-Hispanic" "25-34 years"
"122" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Drugs" 2000 "2-4.9 years" "Drugs (includes possession, distribution, trafficking, other)" "White, non-Hispanic" "18-24 years"
"123" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Drugs" 2000 "5-9.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "25-34 years"
"124" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Drugs" 2000 "10-24.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "25-34 years"
"125" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 "Life, LWOP, Life plus additional years, Death" "Robbery" "White, non-Hispanic" "25-34 years"
"126" "Male" 2000 "Alabama" "<HS diploma/GED" "Other admission (including unsentenced, transfer, AWOL/escapee return)" "Violent" 2000 "10-24.9 years" "Rape/sexual assault" "White, non-Hispanic" "25-34 years"
"127" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Drugs" 2000 "10-24.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "18-24 years"
"128" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "< 1 year" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "35-44 years"
"129" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "10-24.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "18-24 years"
"130" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Property" 2000 "< 1 year" "Larceny" "White, non-Hispanic" "35-44 years"
"131" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Property" 2000 "5-9.9 years" "Other property offenses" "Black, non-Hispanic" "25-34 years"
"132" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Violent" 2000 "10-24.9 years" "Aggravated or simple assault" "Black, non-Hispanic" "25-34 years"
"133" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Public order" 2000 "5-9.9 years" "Public order" "White, non-Hispanic" "35-44 years"
"134" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 "10-24.9 years" "Aggravated or simple assault" "White, non-Hispanic" "35-44 years"
"135" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "10-24.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "25-34 years"
"136" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Public order" 2000 "5-9.9 years" "Public order" "Black, non-Hispanic" "18-24 years"
"137" "Male" 2000 "Alabama" "HS diploma/GED" "Other admission (including unsentenced, transfer, AWOL/escapee return)" "Property" 2000 "10-24.9 years" "Burglary" "White, non-Hispanic" "25-34 years"
"138" "Male" 2000 "Alabama" "<HS diploma/GED" "Parole return/revocation" "Property" 2000 "10-24.9 years" "Burglary" "White, non-Hispanic" "25-34 years"
"139" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 "10-24.9 years" "Aggravated or simple assault" "Black, non-Hispanic" "35-44 years"
"140" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 "Life, LWOP, Life plus additional years, Death" "Robbery" "Black, non-Hispanic" "18-24 years"
"141" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "10-24.9 years" "Other property offenses" "Black, non-Hispanic" "18-24 years"
"142" "Male" 2000 "Alabama" "Any college" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "Black, non-Hispanic" "18-24 years"
"143" "Female" 2000 "Alabama" "HS diploma/GED" "Other admission (including unsentenced, transfer, AWOL/escapee return)" "Property" 2000 "10-24.9 years" "Fraud" "Black, non-Hispanic" "45-54 years"
"144" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "10-24.9 years" "Other property offenses" "Black, non-Hispanic" "18-24 years"
"145" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Drugs" 2000 "5-9.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "18-24 years"
"146" "Male" 2000 "Alabama" "<HS diploma/GED" "Other admission (including unsentenced, transfer, AWOL/escapee return)" "Property" 2000 "10-24.9 years" "Burglary" "White, non-Hispanic" "18-24 years"
"147" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "Black, non-Hispanic" "18-24 years"
"148" "Male" 2000 "Alabama" "<HS diploma/GED" "Parole return/revocation" "Violent" 2000 "10-24.9 years" "Robbery" "Black, non-Hispanic" "18-24 years"
"149" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Violent" 2000 "5-9.9 years" "Aggravated or simple assault" "White, non-Hispanic" "25-34 years"
"150" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "5-9.9 years" "Other property offenses" "Black, non-Hispanic" "18-24 years"
"151" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Drugs" 2000 "10-24.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "18-24 years"
"152" "Male" 2000 "Alabama" "<HS diploma/GED" "Parole return/revocation" "Drugs" 2000 "10-24.9 years" "Drugs (includes possession, distribution, trafficking, other)" "Black, non-Hispanic" "35-44 years"
"153" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "Black, non-Hispanic" "18-24 years"
"154" "Female" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "5-9.9 years" "Larceny" "White, non-Hispanic" "35-44 years"
"155" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "Black, non-Hispanic" "18-24 years"
"156" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "5-9.9 years" "Fraud" "Black, non-Hispanic" "35-44 years"
"157" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Public order" 2000 "10-24.9 years" "Public order" "White, non-Hispanic" "25-34 years"
"158" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "White, non-Hispanic" "18-24 years"
"159" "Male" 2000 "Alabama" "HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "White, non-Hispanic" "18-24 years"
"160" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "White, non-Hispanic" "18-24 years"
"161" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "2-4.9 years" "Other property offenses" "White, non-Hispanic" "18-24 years"
"162" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "5-9.9 years" "Larceny" "Black, non-Hispanic" "18-24 years"
"163" "Male" 2000 "Alabama" "<HS diploma/GED" "New court commitment" "Property" 2000 "10-24.9 years" "Larceny" "Black, non-Hispanic" "25-34 years"
