"","age","sex","age_cat","race","juv_fel_count","decile_score","juv_misd_count","juv_other_count","priors_count","c_charge_desc","is_recid","score_text"
"24",26,"Female","25 - 45","Caucasian",0,5,0,0,0,"Possession Of Alprazolam",0,"Medium"
"25",21,"Male","Less than 25","Caucasian",0,3,0,0,1,"Insurance Fraud",1,"Low"
"26",27,"Male","25 - 45","Caucasian",0,4,0,0,0,"Poss 3,4 MDMA (Ecstasy)",0,"Low"
"27",23,"Male","Less than 25","African-American",0,6,0,0,3,"Battery",1,"Medium"
"28",37,"Female","25 - 45","Caucasian",0,1,0,0,0,"Battery",0,"Low"
"29",22,"Male","Less than 25","Caucasian",0,3,0,0,0,"Battery",0,"Low"
"30",41,"Male","25 - 45","African-American",0,4,0,0,0,"Poss3,4 Methylenedioxymethcath",0,"Low"
"31",47,"Female","Greater than 45","Caucasian",0,1,0,0,1,"arrest case no charge",1,"Low"
"32",47,"Female","Greater than 45","Caucasian",0,1,0,0,1,"arrest case no charge",1,"Low"
"33",31,"Male","25 - 45","African-American",0,3,0,0,7,"Felony Driving While Lic Suspd",1,"Low"
"34",31,"Male","25 - 45","African-American",0,3,0,0,7,"Felony Driving While Lic Suspd",1,"Low"
"35",37,"Male","25 - 45","Hispanic",0,1,0,0,0,"Battery",0,"Low"
"36",25,"Male","25 - 45","African-American",0,10,0,0,3,"Grand Theft in the 3rd Degree",0,"High"
"37",25,"Male","25 - 45","African-American",0,10,0,0,3,"Grand Theft in the 3rd Degree",0,"High"
"38",31,"Male","25 - 45","Caucasian",0,5,0,0,6,"Driving While License Revoked",1,"Medium"
"39",31,"Male","25 - 45","Caucasian",0,3,0,0,5,"Possession Of Heroin",1,"Low"
"40",31,"Male","25 - 45","Caucasian",0,3,0,0,5,"Possession Of Heroin",1,"Low"
"41",31,"Male","25 - 45","Caucasian",0,3,0,0,5,"Possession Of Heroin",1,"Low"
"42",64,"Male","Greater than 45","African-American",0,6,0,0,13,"arrest case no charge",1,"Medium"
"43",64,"Male","Greater than 45","African-American",0,6,0,0,13,"arrest case no charge",1,"Medium"
"44",64,"Male","Greater than 45","African-American",0,6,0,0,13,"arrest case no charge",1,"Medium"
"45",21,"Male","Less than 25","African-American",0,9,0,0,1,"Battery on Law Enforc Officer",1,"High"
"46",21,"Male","Less than 25","African-American",0,9,0,0,1,"Battery on Law Enforc Officer",1,"High"
"47",21,"Male","Less than 25","African-American",0,9,0,0,1,"Battery on Law Enforc Officer",1,"High"
"48",21,"Male","Less than 25","African-American",0,9,0,0,1,"Battery on Law Enforc Officer",1,"High"
"49",21,"Male","Less than 25","African-American",0,9,0,0,1,"Battery on Law Enforc Officer",1,"High"
"50",21,"Male","Less than 25","African-American",0,9,0,0,1,"Battery on Law Enforc Officer",1,"High"
"51",27,"Male","25 - 45","Caucasian",0,2,0,0,0,"Possession Of Methamphetamine",1,"Low"
"52",21,"Female","Less than 25","Caucasian",0,4,0,0,0,"Introduce Contraband Into Jail",0,"Low"
"53",24,"Male","Less than 25","African-American",0,-1,0,0,2,"Poss Pyrrolidinovalerophenone",1,"N/A"
"54",24,"Male","Less than 25","African-American",0,-1,0,0,2,"Poss Pyrrolidinovalerophenone",1,"N/A"
"55",24,"Male","Less than 25","African-American",0,-1,0,0,2,"Poss Pyrrolidinovalerophenone",1,"N/A"
"56",24,"Male","Less than 25","African-American",0,-1,0,0,2,"Poss Pyrrolidinovalerophenone",1,"N/A"
"57",24,"Male","Less than 25","African-American",0,-1,0,0,2,"Poss Pyrrolidinovalerophenone",1,"N/A"
"58",24,"Male","Less than 25","Hispanic",0,4,0,0,1,"Lewd/Lasc Battery Pers 12+/<16",1,"Low"
"59",42,"Male","25 - 45","Caucasian",0,3,0,0,1,"Trafficking In Methamphetamine",0,"Low"
"60",43,"Male","25 - 45","Caucasian",0,1,0,0,1,"Susp Drivers Lic 1st Offense",0,"Low"
"61",32,"Male","25 - 45","Other",0,3,0,0,0,"Battery",0,"Low"
"62",54,"Female","Greater than 45","African-American",0,9,0,0,0,"Poss3,4 Methylenedioxymethcath",0,"High"
"63",44,"Male","25 - 45","African-American",0,6,0,0,8,"arrest case no charge",0,"Medium"
"65",27,"Male","25 - 45","African-American",0,3,0,0,8,"Carrying Concealed Firearm",1,"Low"
"66",27,"Male","25 - 45","African-American",0,3,0,0,8,"Carrying Concealed Firearm",1,"Low"
"67",27,"Male","25 - 45","African-American",0,3,0,0,8,"Carrying Concealed Firearm",1,"Low"
"68",27,"Male","25 - 45","African-American",0,3,0,0,8,"Carrying Concealed Firearm",1,"Low"
"69",36,"Female","25 - 45","Caucasian",0,3,0,0,3,"arrest case no charge",0,"Low"
"70",36,"Female","25 - 45","Caucasian",0,3,0,0,3,"arrest case no charge",0,"Low"
"71",26,"Male","25 - 45","African-American",0,7,0,1,5,"Pos Cannabis W/Intent Sel/Del",1,"Medium"
"72",26,"Male","25 - 45","African-American",0,7,0,1,5,"Pos Cannabis W/Intent Sel/Del",1,"Medium"
"73",26,"Male","25 - 45","African-American",0,7,0,1,5,"Pos Cannabis W/Intent Sel/Del",1,"Medium"
"74",33,"Male","25 - 45","African-American",0,10,0,0,0,"Tampering With Physical Evidence",1,"High"
"75",33,"Male","25 - 45","African-American",0,10,0,0,0,"Tampering With Physical Evidence",1,"High"
"76",30,"Male","25 - 45","Caucasian",0,9,0,0,9,"Felony Battery w/Prior Convict",1,"High"
"77",30,"Male","25 - 45","Caucasian",0,9,0,0,9,"Felony Battery w/Prior Convict",1,"High"
"78",32,"Male","25 - 45","African-American",0,8,0,0,4,"Att Tamper w/Physical Evidence",1,"High"
"79",32,"Male","25 - 45","African-American",0,8,0,0,4,"Att Tamper w/Physical Evidence",1,"High"
"80",63,"Male","Greater than 45","African-American",0,1,0,0,0,"Battery",0,"Low"
"81",27,"Male","25 - 45","Hispanic",0,3,0,0,2,"Possession of Cocaine",0,"Low"
"82",55,"Male","Greater than 45","Caucasian",0,1,0,0,0,"arrest case no charge",0,"Low"
"84",32,"Male","25 - 45","African-American",0,10,0,0,15,"Felony Petit Theft",0,"High"
"85",38,"Male","25 - 45","African-American",0,3,0,2,5,"Burglary Structure Assault/Batt",0,"Low"
"86",38,"Male","25 - 45","African-American",0,3,0,2,5,"Burglary Structure Assault/Batt",0,"Low"
"87",38,"Male","25 - 45","African-American",0,3,0,2,5,"Burglary Structure Assault/Batt",0,"Low"
"88",53,"Male","Greater than 45","Caucasian",0,5,0,0,19,"Fel Drive License Perm Revoke",0,"Medium"
"89",53,"Male","Greater than 45","Caucasian",0,5,0,0,19,"Fel Drive License Perm Revoke",0,"Medium"
"90",49,"Male","Greater than 45","Other",0,3,0,0,7,"Agg Fleeing and Eluding",1,"Low"
"91",49,"Male","Greater than 45","Other",0,3,0,0,7,"Agg Fleeing and Eluding",1,"Low"
"92",49,"Male","Greater than 45","Other",0,3,0,0,7,"Agg Fleeing and Eluding",1,"Low"
"93",26,"Male","25 - 45","Caucasian",0,8,0,2,6,"Operating W/O Valid License",0,"High"
"94",26,"Male","25 - 45","Caucasian",0,8,0,2,6,"Operating W/O Valid License",0,"High"
"95",26,"Male","25 - 45","Caucasian",0,8,0,2,6,"Operating W/O Valid License",0,"High"
"96",33,"Female","25 - 45","Caucasian",0,5,0,0,4,"Battery",1,"Medium"
"97",33,"Female","25 - 45","Caucasian",0,5,0,0,4,"Battery",1,"Medium"
"98",33,"Female","25 - 45","Caucasian",0,5,0,0,4,"Battery",1,"Medium"
"99",33,"Female","25 - 45","Caucasian",0,5,0,0,4,"Battery",1,"Medium"
"100",24,"Male","Less than 25","Caucasian",0,2,0,0,1,"Battery",1,"Low"
"101",24,"Male","Less than 25","Caucasian",0,2,0,0,1,"Battery",1,"Low"
"102",34,"Male","25 - 45","African-American",2,9,1,3,21,"Poss Wep Conv Felon",1,"High"
"103",34,"Male","25 - 45","African-American",2,9,1,3,21,"Poss Wep Conv Felon",1,"High"
"104",34,"Male","25 - 45","African-American",2,9,1,3,21,"Poss Wep Conv Felon",1,"High"
"105",34,"Male","25 - 45","African-American",2,9,1,3,21,"Poss Wep Conv Felon",1,"High"
"106",29,"Male","25 - 45","Caucasian",0,2,0,0,0,"Possess Cannabis/20 Grams Or Less",0,"Low"
"107",21,"Female","Less than 25","African-American",0,8,0,0,2,"arrest case no charge",0,"High"
"108",21,"Female","Less than 25","African-American",0,8,0,0,2,"arrest case no charge",0,"High"
"109",21,"Female","Less than 25","African-American",0,8,0,0,2,"arrest case no charge",0,"High"
"110",21,"Female","Less than 25","African-American",0,8,0,0,2,"arrest case no charge",0,"High"
"111",51,"Male","Greater than 45","African-American",0,1,0,0,2,"Unlaw Use False Name/Identity",0,"Low"
"113",29,"Male","25 - 45","Caucasian",0,2,0,0,2,"Viol Injunct Domestic Violence",1,"Low"
"114",29,"Male","25 - 45","Caucasian",0,2,0,0,2,"Viol Injunct Domestic Violence",1,"Low"
"115",25,"Male","25 - 45","African-American",0,6,0,0,0,"Burglary Unoccupied Dwelling",0,"Medium"
"116",25,"Male","25 - 45","African-American",0,6,0,0,0,"Burglary Unoccupied Dwelling",0,"Medium"
"117",51,"Female","Greater than 45","African-American",0,2,0,0,7,"Possession of Cocaine",0,"Low"
"118",51,"Female","Greater than 45","African-American",0,2,0,0,7,"Possession of Cocaine",0,"Low"
"119",28,"Male","25 - 45","Caucasian",0,7,0,0,8,"Possession of Cocaine",0,"Medium"
"120",36,"Male","25 - 45","African-American",0,9,0,0,22,"Burglary Dwelling Occupied",0,"High"
"121",36,"Male","25 - 45","African-American",0,9,0,0,22,"Burglary Dwelling Occupied",0,"High"
"122",29,"Male","25 - 45","African-American",0,7,0,0,0,"Defrauding Innkeeper $300/More",1,"Medium"
"123",29,"Male","25 - 45","African-American",0,7,0,0,0,"Defrauding Innkeeper $300/More",1,"Medium"
"124",29,"Male","25 - 45","African-American",0,7,0,0,0,"Defrauding Innkeeper $300/More",1,"Medium"
"125",29,"Male","25 - 45","Other",0,1,0,0,0,"Battery",0,"Low"
"126",25,"Male","25 - 45","Caucasian",0,10,0,0,9,"Battery",1,"High"
"127",35,"Male","25 - 45","African-American",1,8,0,4,13,"Uttering a Forged Instrument",1,"High"
"128",49,"Male","Greater than 45","Caucasian",0,1,0,0,0,"DUI Level 0.15 Or Minor In Veh",0,"Low"
"129",34,"Male","25 - 45","African-American",0,3,0,0,4,"Driving License Suspended",1,"Low"
"130",29,"Male","25 - 45","African-American",0,4,0,0,0,"Tampering With Physical Evidence",0,"Low"
"131",29,"Male","25 - 45","Caucasian",0,2,0,0,1,"Possession of Oxycodone",1,"Low"
"132",29,"Male","25 - 45","Caucasian",0,2,0,0,1,"Possession of Oxycodone",1,"Low"
"133",28,"Female","25 - 45","Other",0,2,0,0,0,"Grand Theft in the 3rd Degree",0,"Low"
"134",51,"Male","Greater than 45","Caucasian",0,2,0,0,0,"Grand Theft in the 3rd Degree",0,"Low"
"135",25,"Male","25 - 45","Caucasian",0,3,0,0,0,"Possession of Cocaine",0,"Low"
"136",48,"Male","Greater than 45","Caucasian",0,6,0,0,20,"arrest case no charge",1,"Medium"
"137",48,"Male","Greater than 45","Caucasian",0,6,0,0,20,"arrest case no charge",1,"Medium"
"138",48,"Male","Greater than 45","Caucasian",0,6,0,0,20,"arrest case no charge",1,"Medium"
"139",33,"Male","25 - 45","Caucasian",0,9,0,0,1,"Grand Theft Dwell Property",0,"High"
"140",33,"Male","25 - 45","Caucasian",0,9,0,0,1,"Grand Theft Dwell Property",0,"High"
"141",63,"Female","Greater than 45","Hispanic",0,1,0,0,1,"arrest case no charge",0,"Low"
"142",30,"Male","25 - 45","African-American",0,6,0,1,3,"Possession of Cocaine",0,"Medium"
"143",31,"Male","25 - 45","African-American",0,5,0,1,15,"Attempt Armed Burglary Dwell",1,"Medium"
"144",24,"Male","Less than 25","African-American",0,4,0,0,2,"Poss Tetrahydrocannabinols",1,"Low"
"145",24,"Male","Less than 25","African-American",0,4,0,0,2,"Poss Tetrahydrocannabinols",1,"Low"
"146",24,"Male","Less than 25","African-American",0,4,0,0,2,"Poss Tetrahydrocannabinols",1,"Low"
"147",27,"Male","25 - 45","African-American",0,5,0,0,0,"Felony Driving While Lic Suspd",0,"Medium"
"148",32,"Male","25 - 45","Caucasian",0,8,0,0,3,"Tampering With Physical Evidence",0,"High"
"149",30,"Male","25 - 45","Hispanic",0,7,0,0,0,"Possess Cannabis/20 Grams Or Less",0,"Medium"
"150",49,"Male","Greater than 45","African-American",0,1,0,0,4,"Battery",0,"Low"
"151",53,"Male","Greater than 45","Caucasian",0,5,0,0,8,"arrest case no charge",0,"Medium"
"152",31,"Female","25 - 45","Hispanic",0,1,0,0,0,"Battery",0,"Low"
"153",35,"Male","25 - 45","African-American",0,3,0,0,5,"Driving While License Revoked",0,"Low"
"154",63,"Male","Greater than 45","African-American",0,7,0,0,10,"Possess Drug Paraphernalia",1,"Medium"
"155",33,"Male","25 - 45","African-American",0,1,0,0,2,"Agg Battery Grt/Bod/Harm",0,"Low"
"156",27,"Male","25 - 45","African-American",1,10,1,2,15,"Driving While License Revoked",1,"High"
"157",27,"Male","25 - 45","African-American",1,10,1,2,15,"Driving While License Revoked",1,"High"
"158",27,"Male","25 - 45","African-American",1,10,1,2,15,"Driving While License Revoked",1,"High"
"159",38,"Male","25 - 45","Caucasian",0,2,0,0,4,"Battery",1,"Low"
"160",46,"Male","Greater than 45","Caucasian",3,6,1,0,9,"Grand Theft in the 3rd Degree",0,"Medium"
"161",46,"Male","Greater than 45","Caucasian",3,6,1,0,9,"Grand Theft in the 3rd Degree",0,"Medium"
"162",22,"Male","Less than 25","African-American",0,4,0,1,1,"Poss Firearm W/Altered ID#",1,"Low"
"163",34,"Female","25 - 45","Caucasian",0,1,0,0,0,"Battery",0,"Low"
"164",22,"Male","Less than 25","African-American",0,10,1,2,2,"Sell Conterfeit Cont Substance",1,"High"
"165",22,"Male","Less than 25","African-American",0,10,1,2,2,"Sell Conterfeit Cont Substance",1,"High"
"166",22,"Male","Less than 25","African-American",0,10,1,2,2,"Sell Conterfeit Cont Substance",1,"High"
"167",29,"Male","25 - 45","African-American",0,9,0,0,4,"arrest case no charge",1,"High"
"168",29,"Male","25 - 45","African-American",0,9,0,0,4,"arrest case no charge",1,"High"
"169",29,"Male","25 - 45","African-American",0,9,0,0,4,"arrest case no charge",1,"High"
"170",29,"Male","25 - 45","African-American",0,9,0,0,4,"arrest case no charge",1,"High"
"171",62,"Male","Greater than 45","Hispanic",0,1,0,0,0,"Unlaw LicTag/Sticker Attach",0,"Low"
"172",27,"Male","25 - 45","African-American",0,6,1,0,6,"Aggravated Battery / Pregnant",1,"Medium"
"173",27,"Male","25 - 45","African-American",0,6,1,0,6,"Aggravated Battery / Pregnant",1,"Medium"
"174",27,"Male","25 - 45","African-American",0,6,1,0,6,"Aggravated Battery / Pregnant",1,"Medium"
"175",33,"Male","25 - 45","Other",0,1,0,0,0,"Battery",0,"Low"
"176",56,"Female","Greater than 45","African-American",0,1,0,0,0,"Battery",0,"Low"
"177",45,"Male","Greater than 45","Hispanic",0,1,0,0,6,"Possession of Cocaine",1,"Low"
"178",45,"Male","Greater than 45","Hispanic",0,1,0,0,6,"Possession of Cocaine",1,"Low"
"179",22,"Male","Less than 25","Hispanic",0,4,0,0,1,"Burglary Structure Unoccup",0,"Low"
"180",31,"Female","25 - 45","Caucasian",0,3,0,0,2,"Felony Driving While Lic Suspd",0,"Low"
"181",34,"Male","25 - 45","African-American",0,4,0,0,0,"False Imprisonment",0,"Low"
"182",39,"Male","25 - 45","African-American",0,4,0,0,1,"arrest case no charge",0,"Low"
"183",24,"Male","Less than 25","African-American",0,6,1,0,4,"Battery",0,"Medium"
"184",29,"Male","25 - 45","African-American",0,6,0,0,5,"False Name By Person Arrest",1,"Medium"
"185",29,"Male","25 - 45","African-American",0,6,0,0,5,"False Name By Person Arrest",1,"Medium"
"186",29,"Male","25 - 45","African-American",0,6,0,0,5,"False Name By Person Arrest",1,"Medium"
"187",29,"Male","25 - 45","African-American",0,6,0,0,5,"False Name By Person Arrest",1,"Medium"
"188",29,"Male","25 - 45","African-American",0,6,0,0,5,"False Name By Person Arrest",1,"Medium"
"189",27,"Male","25 - 45","Caucasian",0,6,0,1,1,"arrest case no charge",1,"Medium"
"190",27,"Male","25 - 45","Caucasian",0,6,0,1,1,"arrest case no charge",1,"Medium"
"191",27,"Male","25 - 45","Caucasian",0,6,0,1,1,"arrest case no charge",1,"Medium"
"192",27,"Male","25 - 45","Caucasian",0,6,0,1,1,"arrest case no charge",1,"Medium"
"194",24,"Female","Less than 25","Hispanic",0,4,0,0,1,"DUI Property Damage/Injury",0,"Low"
"195",40,"Male","25 - 45","African-American",0,2,0,0,2,"arrest case no charge",0,"Low"
"196",51,"Male","Greater than 45","African-American",0,1,0,0,1,"arrest case no charge",0,"Low"
"197",51,"Male","Greater than 45","African-American",0,1,0,0,1,"arrest case no charge",0,"Low"
"198",22,"Male","Less than 25","African-American",0,3,0,0,1,"Battery",1,"Low"
"199",22,"Male","Less than 25","African-American",0,3,0,0,1,"Battery",1,"Low"
"200",22,"Male","Less than 25","African-American",0,3,0,0,1,"Battery",1,"Low"
"201",22,"Male","Less than 25","Caucasian",0,8,0,0,0,"Grand Theft in the 3rd Degree",0,"High"
"202",22,"Male","Less than 25","Caucasian",0,8,0,0,0,"Grand Theft in the 3rd Degree",0,"High"
"203",22,"Male","Less than 25","Caucasian",0,8,0,0,0,"Grand Theft in the 3rd Degree",0,"High"
"204",22,"Male","Less than 25","Caucasian",0,8,0,0,0,"Grand Theft in the 3rd Degree",0,"High"
"205",22,"Male","Less than 25","Caucasian",0,8,0,0,0,"Grand Theft in the 3rd Degree",0,"High"
"206",26,"Female","25 - 45","African-American",0,4,0,0,1,"Poss Cocaine/Intent To Del/Sel",1,"Low"
"207",27,"Male","25 - 45","Caucasian",0,7,0,0,1,"Burglary Dwelling Assault/Batt",1,"Medium"
"208",59,"Female","Greater than 45","African-American",0,1,0,0,2,"arrest case no charge",0,"Low"
"209",32,"Male","25 - 45","Caucasian",0,1,0,0,3,"Driving Under The Influence",0,"Low"
"210",32,"Male","25 - 45","African-American",0,2,0,0,0,"Felony Battery (Dom Strang)",0,"Low"
"211",41,"Male","25 - 45","African-American",0,2,0,0,1,"arrest case no charge",0,"Low"
"212",50,"Male","Greater than 45","Caucasian",0,1,0,0,0,"Battery",0,"Low"
"213",30,"Male","25 - 45","African-American",0,10,0,0,8,"Possess Cannabis/20 Grams Or Less",1,"High"
"214",30,"Male","25 - 45","African-American",0,10,0,0,8,"Possess Cannabis/20 Grams Or Less",1,"High"
"215",30,"Male","25 - 45","African-American",0,10,0,0,8,"Possess Cannabis/20 Grams Or Less",1,"High"
"216",66,"Male","Greater than 45","African-American",0,9,0,0,0,"arrest case no charge",0,"High"
"217",52,"Male","Greater than 45","African-American",0,5,0,0,3,"Driving While License Revoked",0,"Medium"
"219",22,"Male","Less than 25","Caucasian",0,6,0,0,3,"Burglary Conveyance Unoccup",0,"Medium"
"220",50,"Male","Greater than 45","Other",0,1,0,0,0,"arrest case no charge",1,"Low"
"221",50,"Male","Greater than 45","Other",0,1,0,0,0,"arrest case no charge",1,"Low"
"222",25,"Male","25 - 45","African-American",1,10,6,1,14,"arrest case no charge",1,"High"
"223",25,"Male","25 - 45","African-American",1,10,6,1,14,"arrest case no charge",1,"High"
"224",25,"Male","25 - 45","African-American",1,10,6,1,14,"arrest case no charge",1,"High"
"225",25,"Male","25 - 45","African-American",1,10,6,1,14,"arrest case no charge",1,"High"
"226",25,"Male","25 - 45","African-American",1,10,6,1,14,"arrest case no charge",1,"High"
"228",20,"Male","Less than 25","Other",0,5,0,0,0,"Tampering With Physical Evidence",1,"Medium"
"229",22,"Male","Less than 25","African-American",1,9,0,0,2,"Attempted Burg/struct/unocc",1,"High"
"230",22,"Male","Less than 25","African-American",1,9,0,0,2,"Attempted Burg/struct/unocc",1,"High"
"231",22,"Male","Less than 25","African-American",1,9,0,0,2,"Attempted Burg/struct/unocc",1,"High"
"232",23,"Male","Less than 25","African-American",0,7,0,1,2,"arrest case no charge",1,"Medium"
"233",23,"Male","Less than 25","African-American",0,7,0,1,2,"arrest case no charge",1,"Medium"
"234",54,"Male","Greater than 45","African-American",0,6,0,0,6,"arrest case no charge",0,"Medium"
"235",54,"Male","Greater than 45","African-American",0,6,0,0,6,"arrest case no charge",0,"Medium"
"236",40,"Male","25 - 45","Caucasian",0,5,0,0,4,"arrest case no charge",0,"Medium"
"237",40,"Male","25 - 45","Caucasian",0,5,0,0,4,"arrest case no charge",0,"Medium"
"238",25,"Male","25 - 45","African-American",0,7,0,0,10,"arrest case no charge",0,"Medium"
"239",25,"Male","25 - 45","African-American",0,7,0,0,10,"arrest case no charge",0,"Medium"
"240",35,"Female","25 - 45","African-American",0,2,0,0,1,"arrest case no charge",0,"Low"
"241",36,"Male","25 - 45","African-American",0,7,0,0,9,"Deliver Cocaine",1,"Medium"
"242",36,"Male","25 - 45","African-American",0,7,0,0,9,"Deliver Cocaine",1,"Medium"
"243",26,"Male","25 - 45","Caucasian",0,8,0,0,7,"Possession Burglary Tools",1,"High"
"244",26,"Male","25 - 45","Caucasian",0,8,0,0,7,"Possession Burglary Tools",1,"High"
"245",26,"Male","25 - 45","Caucasian",0,8,0,0,7,"Possession Burglary Tools",1,"High"
"246",21,"Male","Less than 25","Other",0,6,0,0,1,"Grand Theft in the 3rd Degree",1,"Medium"
"247",21,"Male","Less than 25","Other",0,6,0,0,1,"Grand Theft in the 3rd Degree",1,"Medium"
"248",21,"Male","Less than 25","Other",0,6,0,0,1,"Grand Theft in the 3rd Degree",1,"Medium"
"249",21,"Male","Less than 25","Other",0,6,0,0,1,"Grand Theft in the 3rd Degree",1,"Medium"
"250",21,"Male","Less than 25","Other",0,6,0,0,1,"Grand Theft in the 3rd Degree",1,"Medium"
"252",30,"Male","25 - 45","Caucasian",0,5,0,1,6,"Burglary Conveyance Unoccup",0,"Medium"
"253",25,"Male","25 - 45","Caucasian",0,8,0,0,9,"Pos Cannabis W/Intent Sel/Del",1,"High"
"254",25,"Male","25 - 45","Caucasian",0,8,0,0,9,"Pos Cannabis W/Intent Sel/Del",1,"High"
"255",71,"Male","Greater than 45","African-American",0,7,0,0,12,"Possess Cannabis/20 Grams Or Less",0,"Medium"
"256",34,"Male","25 - 45","African-American",0,3,0,0,3,"Battery",0,"Low"
"257",20,"Female","Less than 25","Caucasian",0,7,0,0,0,"Poss3,4 Methylenedioxymethcath",0,"Medium"
"258",39,"Male","25 - 45","Caucasian",0,1,0,0,2,"Possession Of Alprazolam",1,"Low"
"259",39,"Male","25 - 45","Caucasian",0,1,0,0,2,"Possession Of Alprazolam",1,"Low"
"260",39,"Male","25 - 45","Caucasian",0,1,0,0,2,"Possession Of Alprazolam",1,"Low"
"261",39,"Male","25 - 45","Caucasian",0,1,0,0,2,"Possession Of Alprazolam",1,"Low"
"262",39,"Male","25 - 45","Caucasian",0,1,0,0,2,"Possession Of Alprazolam",1,"Low"
"263",39,"Male","25 - 45","Caucasian",0,1,0,0,2,"Possession Of Alprazolam",1,"Low"
"264",39,"Male","25 - 45","Caucasian",0,1,0,0,2,"Possession Of Alprazolam",1,"Low"
"265",39,"Male","25 - 45","Caucasian",0,1,0,0,2,"Possession Of Alprazolam",1,"Low"
"266",66,"Male","Greater than 45","Caucasian",0,1,0,0,3,"Flee/Elude LEO-Agg Flee Unsafe",0,"Low"
"267",54,"Female","Greater than 45","Caucasian",0,1,0,0,0,"DUI Level 0.15 Or Minor In Veh",0,"Low"
"269",44,"Female","25 - 45","Hispanic",0,1,0,0,0,"Battery",0,"Low"
"270",19,"Male","Less than 25","African-American",0,4,0,0,1,"Battery",1,"Low"
"271",24,"Male","Less than 25","African-American",0,2,0,0,1,"arrest case no charge",0,"Low"
"272",24,"Male","Less than 25","African-American",0,2,0,0,1,"arrest case no charge",0,"Low"
"273",30,"Male","25 - 45","African-American",0,2,0,0,1,"Fail To Redeliv Hire/Leas Prop",0,"Low"
"274",39,"Female","25 - 45","Caucasian",0,1,0,0,0,"Aggravated Assault W/Dead Weap",1,"Low"
"275",32,"Female","25 - 45","African-American",0,3,0,0,8,"Battery",0,"Low"
"276",24,"Male","Less than 25","Caucasian",0,6,1,2,8,"False Ownership Info/Pawn Item",1,"Medium"
"277",24,"Male","Less than 25","Caucasian",0,6,1,2,8,"False Ownership Info/Pawn Item",1,"Medium"
"278",24,"Male","Less than 25","Caucasian",0,6,1,2,8,"False Ownership Info/Pawn Item",1,"Medium"
"279",24,"Male","Less than 25","Caucasian",0,6,1,2,8,"False Ownership Info/Pawn Item",1,"Medium"
"280",24,"Male","Less than 25","Caucasian",0,6,1,2,8,"False Ownership Info/Pawn Item",1,"Medium"
"281",30,"Male","25 - 45","Caucasian",0,4,0,0,0,"Possession Of Methamphetamine",0,"Low"
"282",30,"Male","25 - 45","Caucasian",0,4,0,0,0,"Possession Of Methamphetamine",0,"Low"
"283",30,"Male","25 - 45","Caucasian",0,4,0,0,0,"Possession Of Methamphetamine",0,"Low"
"284",31,"Male","25 - 45","Caucasian",0,5,0,0,0,"Battery",0,"Medium"
"285",39,"Female","25 - 45","Caucasian",0,4,0,0,1,"Possession of Morphine",0,"Low"
"286",39,"Female","25 - 45","Caucasian",0,4,0,0,1,"Possession of Morphine",0,"Low"
"287",39,"Female","25 - 45","Caucasian",0,4,0,0,1,"Possession of Morphine",0,"Low"
